"""Identificador URL""";"Nome";"Categorias";"Nome da varia��o 1";"Valor da varia��o 1";"Nome da varia��o 2";"Valor da varia��o 2";"Nome da varia��o 3";"Valor da varia��o 3";"Pre�o";"Pre�o promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"C�digo de barras";"Exibir na loja";"Frete gratis";"Descri��o";"Tags";"T�tulo para SEO";"Descri��o para SEO";"Marca";"Produto F�sico";"MPN (C�d. Exclusivo, Modelo Fabricante)";"Sexo";"Faixa et�ria";"Custo";"URL image"
"wella-professionals-invigo-sun-condicionador-200ml";"Wella Professionals Invigo Sun - Condicionador 200ml";;;;;;;;"90.00";;"0.20";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professionals-invigo-sun-condicionador-200ml/1-captura-de-tela-2023-12-01-as-13-30-48-830cd9f4a585844f1c17014492858003-1024-1024.webp"
"sebastian-professional-hydre-condicionador-250ml";"Sebastian Professional Hydre - Condicionador 250ml";;;;;;;;"145.00";;"0.25";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/sebastian-professional-hydre-condicionador-250ml/1-captura-de-tela-2023-12-01-as-13-27-10-811889c9c76db2fe1717014481119238-1024-1024.webp"
"sebastian-professional-hydre-mascara-de-hidratacao-150ml";"Sebastian Professional Hydre - M�scara de Hidrata��o 150ml";;;;;;;;"182.00";;"0.15";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/sebastian-professional-hydre-mascara-de-hidratacao-150ml/1-captura-de-tela-2023-12-01-as-13-13-04-4773e7e9935f58c00217014472458859-1024-1024.webp"
"wella-professionals-ultimate-repair-mascara-capilar-150ml";"Wella Professionals Ultimate Repair - M�scara Capilar 150ml";;;;;;;;"175.00";;"0.15";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professionals-ultimate-repair-mascara-capilar-150ml/1-captura-de-tela-2023-12-01-as-12-47-14-32d6ceeccee9537df417014460359729-1024-1024.webp"
"truss-illuminatte-oil-oleo-capilar-60ml";"Truss Illuminatte Oil - �leo Capilar 60ml";;;;;;;;"125.00";;"0.06";"0.00";"0.00";"0.00";"5";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-illuminatte-oil-oleo-capilar-60ml/1-captura-de-tela-2023-12-01-as-11-33-13-9227adb57c7a90263817014412815967-1024-1024.webp"
"kit-nutritive-kerastase-3-produtos";"Kit Nutritive K�rastase (3 Produtos)";;;;;;;;"762.00";"635.00";"0.00";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kit-nutritive-kerastase-3-produtos/1-post-do-instagram-ofertas-monstruosas-de-halloween-gradiente-laranja-e-amarelo-4dd2b5fdab7d935b9716988702609246-1024-1024.webp"
"kerastase-nutritive-magistral-mascara-de-nutricao-200ml";"K�rastase Nutritive Magistral - M�scara de Nutri��o 200ml";;;;;;;;"385.00";;"0.20";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kerastase-nutritive-magistral-mascara-de-nutricao-200ml/1-captura-de-tela-2023-11-01-as-14-44-49-5875ee4499b8f271eb16988608471806-1024-1024.webp"
"wella-professionals-invigo-color-brilliance-kit-full-4-produtos";"Wella Professionals Invigo Color Brilliance - Kit Full (4 Produtos)";"Linhas > Brilliance";;;;;;;"432.00";;"0.00";"0.00";"0.00";"0.00";"0";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professionals-invigo-color-brilliance-kit-full-4-produtos/1-captura-de-tela-2023-10-26-as-12-56-48-1d62716bcd2487b2fe16983358887005-1024-1024.webp"
"truss-uso-obrigatorio-blond-tratamento-reconstrutor-260ml";"Truss Uso Obrigat�rio Blond - Tratamento Reconstrutor 260ml";;;;;;;;"170.00";;"0.26";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-uso-obrigatorio-blond-tratamento-reconstrutor-260ml/1-captura-de-tela-2023-10-13-as-16-16-24-0dedd57a2a13790c6016972246092804-1024-1024.webp"
"truss-uso-obrigatorio-tratamento-reconstrutor-260ml";"Truss Uso Obrigat�rio - Tratamento Reconstrutor 260ml";;;;;;;;"160.00";;"0.26";"0.00";"0.00";"0.00";"8";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-uso-obrigatorio-tratamento-reconstrutor-260ml/1-captura-de-tela-2023-09-23-as-17-33-511-826acb4c7d21539b9a16955014657411-1024-1024.webp"
"truss-day-by-day-leave-in-250ml";"Truss Day By Day - Leave-in 250ml";;;;;;;;"119.00";;"0.25";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-day-by-day-leave-in-250ml/1-captura-de-tela-2023-09-23-as-17-28-281-b99e5740769fbd5f0f16955012199846-1024-1024.webp"
